Date,Open,High,Low,Close,Adj Close,Volume
2021/2/3,136.360001,139.317505,135.164993,135.304993,135.023727,24540800
2021/2/4,135.309998,136.735001,133.377502,136.642502,136.358429,20134000
2021/2/5,137.25,137.372498,135.457504,135.910004,135.627457,16915200
2021/2/8,137.272507,144.737503,137.272507,144.387497,144.087341,43462400
2021/2/9,143.407501,145.832504,142.225006,142.632507,142.335999,28756000
2021/2/10,144.632507,149.050003,143.414993,147.642502,147.335571,48535200
2021/2/11,149.802505,152.722504,149.25,152.507507,152.190491,45082800
2021/2/12,150.5,152.912506,147.75,149.612503,149.301483,37475600
2021/2/16,150.642502,153.725006,149.5,153.302505,152.98381,32196000
2021/2/17,151.710007,152.235001,147.800003,149.059998,148.750107,27475600
2021/2/18,147.289993,148.732498,145.75,148.289993,147.981735,23386800
2021/2/19,150.244995,151.770004,148.467499,149.264999,148.954712,27172400
2021/2/22,147.747498,151.332504,143.25,143.557495,143.259094,32588400
2021/2/23,140.752502,142.387497,133.895004,141.419998,141.126022,39178000
2021/2/24,141.227493,145.067505,137.559998,144.990005,144.688599,44832000
2021/2/25,140.455002,143.747498,132.162506,133.074997,132.798386,82443600
2021/2/26,137.524994,138.544998,133.610001,137.145004,136.859894,50093200
2021/3/1,138.75,139.25,135.532501,138.417496,138.129761,35318400
2021/3/2,139,139.205002,133.960007,134.0625,133.783829,26411600
2021/3/3,134.262497,134.514999,127.987503,128.047501,127.781319,37759200
2021/3/4,128.007507,129.75,120.837502,123.702499,123.445351,57334400
2021/3/5,125.5,125.5,116.792503,124.614998,124.355942,54284000
2021/3/8,124.5,124.712502,115.665001,115.932503,115.691513,54311200
2021/3/9,121.302498,126.167503,120.592499,125.202499,124.985359,52182400
2021/3/10,128.404999,129.800003,124.574997,124.682503,124.466255,38437600
2021/3/11,129.5,130.462494,127.345001,129.934998,129.70961,29991600
2021/3/12,126.482498,128.887497,125.900002,128.559998,128.337036,24396400
2021/3/15,128.647507,132.067505,127.672501,131.912506,131.683716,22198800
2021/3/16,133.565002,135.125,131.167496,132.912506,132.681992,27212800
2021/3/17,130.397507,134.532501,129.895004,133.412506,133.181107,24386400
2021/3/18,131.365005,131.839996,127.169998,127.224998,127.004333,29389600
2021/3/19,127.5,129.214996,126.125,128.457504,128.234711,29920800
2021/3/22,129.127502,133.945007,129.067505,131.862503,131.633804,29780400
2021/3/23,132.542496,133.445007,130.212494,130.707504,130.480804,22204800
2021/3/24,131.512497,131.592499,126.3675,126.43,126.210724,24584000
2021/3/25,124.995003,127.147499,122.720001,125.352501,125.135094,29514400
2021/3/26,125.544998,128.5625,123.735001,128.392502,128.169815,36396800
2021/3/29,128.202499,130.625,127,129.482498,129.257919,27352000
2021/3/30,128.419998,129.752502,127.050003,128.717499,128.494263,20020400
2021/3/31,130.154999,134.705002,129.824997,133.482498,133.250992,31477600
2021/4/1,135.722504,138.699997,135.112503,138.117493,137.87796,30827600
2021/4/5,138.675003,140.139999,137.330002,139.875,139.632401,25567200
2021/4/6,139.997498,140.542496,137.735001,138.615005,138.374603,19174400
2021/4/7,138.807495,142.434998,137.115005,141.434998,141.189667,25128400
2021/4/8,142.527496,144.714996,142.490005,143.169998,142.921677,24441600
2021/4/9,142.139999,144.080002,141.75,144,143.750244,19517200
2021/4/12,142.897507,153.524994,141.392502,152.089996,151.826233,86932400
2021/4/13,152.315002,157,151.257507,156.794998,156.523056,67621200
2021/4/14,156.25,157.205002,152.274994,152.770004,152.505035,38550000
2021/4/15,156.625,162.142502,156.315002,161.372498,161.09259,59848000
2021/4/16,160.529999,161.657501,158.652496,159.125,158.84903,33520800
2021/4/19,155.365005,158.074997,152.330002,153.617493,153.351074,40442000
2021/4/20,153.232498,154.970001,149.630005,151.712494,151.449371,33413200
2021/4/21,151.1875,153.625,151.022507,153.604996,153.338577,21677600
2021/4/22,153.75,154.384995,147.835007,148.502502,148.244965,27778800
2021/4/23,149.342499,153.350006,149.002502,152.652496,152.387756,22750000
2021/4/26,151.850006,154.789993,151.25,154.779999,154.511551,19779600
2021/4/27,155.785004,156.705002,153.544998,153.817505,153.550751,16457200
2021/4/28,153.645004,155.322495,152.154999,152.767502,152.502533,20941600
2021/4/29,154,154.365005,150.714996,153.247498,152.981705,17319600
2021/4/30,151.744995,153.649994,149.970001,150.095001,149.834686,20191200
2021/5/3,151.25,152.467499,147.875,148.367493,148.110168,20391200
2021/5/4,146.372498,146.375,140.102493,143.512497,143.263611,40532400
2021/5/5,147.089996,148.134995,143.875,144.585007,144.334259,29202400
2021/5/6,144.952499,145.712494,142.179993,145.229996,144.978134,19338000
2021/5/7,148.082504,149.707504,146.717499,148.122498,147.865601,22932800
2021/5/10,147.872498,148.059998,142.5,142.657501,142.410065,26890400
2021/5/11,138.25,143.547501,137.5,143.0625,142.814362,28558400
2021/5/12,140.095001,142.602493,137.092499,137.585007,137.346405,30340800
2021/5/13,140.337494,140.807495,134.589996,136.652496,136.415497,28540400
2021/5/14,138.899994,143.279999,137.485001,142.429993,142.182983,25861600
2021/5/17,141.570007,141.692505,138.535004,141.654999,141.409332,21698000
2021/5/18,142.669998,144.042496,140.039993,140.157501,139.914413,18625600
2021/5/19,135.664993,140.794998,135.432495,140.657501,140.413544,34400000
2021/5/20,143.024994,146.837494,142.705002,146.125,145.871582,32159200
2021/5/21,151.637497,152.220001,148.695007,149.917496,149.657486,67299200
2021/5/24,152.125,157.449997,151.759995,156.119995,155.849228,55481600
2021/5/25,157.660004,158.184998,154.824997,156.477493,156.2061,43540800
2021/5/26,157.342499,157.9375,155.862503,157,156.727676,37044000
2021/5/27,156.997498,157.5,154.600006,154.880005,154.611359,58147600
2021/5/28,155.009995,162.774994,155.009995,162.445007,162.163269,64453600
2021/6/1,162.699997,163.882507,159.032501,162.645004,162.36293,47280400
2021/6/2,162.522507,169.1875,162.354996,167.782501,167.491501,59416800
2021/6/3,167.007507,172.589996,165.830002,169.697495,169.403183,58000800
2021/6/4,171.125,176.610001,170.955002,175.782501,175.477661,61712000
2021/6/7,175.712494,178.125,171.927505,176.190002,175.88443,57575600
2021/6/8,175.272507,176.214996,172.509995,174.570007,174.267242,32384800
2021/6/9,175.157501,175.75,172.557495,173.582504,173.321152,38165600
2021/6/10,173.5,174.919998,171.759995,174.25,173.98764,28777200
2021/6/11,174.794998,179.392502,174.4375,178.252502,177.984146,41630800
2021/6/14,179.059998,180.395004,176.627502,180.1875,179.916214,32137600
2021/6/15,179.149994,180.162506,177.279999,177.884995,177.617172,24303200
